userId,phone
111,16610000000
112,16610000001
113,16610000002
114,16610000003
115,16610000004
116,16610000005
117,16610000006
118,16610000007
119,16610000008
120,16610000009
121,16610000010
122,16610000011
123,16610000012
124,16610000013
125,16610000014
126,16610000015
127,16610000016
128,16610000017
129,16610000018
130,16610000019
142,16610000020
143,16610000021
144,16610000022
145,16610000023
146,16610000024
147,16610000025
148,16610000026
149,16610000027
150,16610000028
151,16610000029
152,16610000030
153,16610000031
154,16610000032
155,16610000033
156,16610000034
157,16610000035
158,16610000036
159,16610000037
160,16610000038
161,16610000039
162,16610000040
163,16610000041
164,16610000042
165,16610000043
166,16610000044
167,16610000045
168,16610000046
169,16610000047
170,16610000048
171,16610000049
172,16610000050
173,16610000051
174,16610000052
175,16610000053
176,16610000054
177,16610000055
178,16610000056
179,16610000057
180,16610000058
181,16610000059
182,16610000060
183,16610000061
184,16610000062
185,16610000063
186,16610000064
187,16610000065
188,16610000066
189,16610000067
190,16610000068
191,16610000069
192,16610000070
193,16610000071
194,16610000072
195,16610000073
196,16610000074
197,16610000075
198,16610000076
199,16610000077
200,16610000078
201,16610000079
202,16610000080
203,16610000081
204,16610000082
205,16610000083
206,16610000084
207,16610000085
208,16610000086
209,16610000087
210,16610000088
211,16610000089
212,16610000090
213,16610000091
214,16610000092
215,16610000093
216,16610000094
217,16610000095
218,16610000096
219,16610000097
220,16610000098
221,16610000099
222,16610000100
223,16610000101
224,16610000102
225,16610000103
226,16610000104
227,16610000105
228,16610000106
229,16610000107
230,16610000108
231,16610000109
232,16610000110
233,16610000111
234,16610000112
235,16610000113
236,16610000114
237,16610000115
238,16610000116
239,16610000117
240,16610000118
241,16610000119
242,16610000120
243,16610000121
244,16610000122
245,16610000123
246,16610000124
247,16610000125
248,16610000126
249,16610000127
250,16610000128
251,16610000129
252,16610000130
253,16610000131
254,16610000132
255,16610000133
256,16610000134
257,16610000135
258,16610000136
259,16610000137
260,16610000138
261,16610000139
262,16610000140
263,16610000141
264,16610000142
265,16610000143
266,16610000144
267,16610000145
268,16610000146
269,16610000147
270,16610000148
271,16610000149
272,16610000150
273,16610000151
274,16610000152
275,16610000153
276,16610000154
277,16610000155
278,16610000156
279,16610000157
